Date,Price,Open,High,Low,Vol.,Change %
9/9/2021,"79,590.60","79,777.40","79,870.90","79,403.80",2.45M,-0.23%
9/10/2021,"80,805.00","79,590.60","81,272.10","79,403.80",3.96M,1.53%
9/13/2021,"81,458.90","80,805.00","81,645.80","80,618.20",2.96M,0.81%
9/14/2021,"81,272.10","81,458.90","81,552.40","80,898.40",2.48M,-0.23%
9/15/2021,"80,431.40","81,085.30","81,085.30","80,431.40",2.43M,-1.03%
9/16/2021,"80,711.60","80,805.00","80,805.00","80,244.50",1.83M,0.35%
9/17/2021,"80,805.00","80,711.60","82,579.90","80,618.20",5.29M,0.12%
9/20/2021,"82,860.20","81,832.60","83,233.80","81,552.40",5.45M,2.54%
9/21/2021,"82,953.60","82,206.30","83,047.00","81,926.00",3.10M,0.11%
9/22/2021,"85,475.80","82,673.30","85,662.70","82,673.30",10.05M,3.04%
9/23/2021,"84,821.90","85,475.80","86,316.60","84,448.30",3.94M,-0.77%
9/24/2021,"84,728.50","85,008.80","85,382.40","84,541.70",2.99M,-0.11%
9/27/2021,"82,953.60","84,635.10","85,382.40","82,953.60",5.05M,-2.09%
9/28/2021,"83,420.70","82,953.60","83,981.20","82,206.30",3.76M,0.56%
9/29/2021,"83,700.90","83,420.70","84,168.00","82,860.20",2.76M,0.34%
9/30/2021,"83,700.90","83,981.20","84,728.50","83,700.90",2.80M,0.00%
10/1/2021,"83,887.80","83,420.70","84,448.30","83,233.80",3.81M,0.22%
10/4/2021,"84,261.40","84,541.70","85,102.20","84,168.00",3.06M,0.45%
10/5/2021,"83,700.90","84,354.80","84,354.80","83,700.90",2.27M,-0.67%
10/6/2021,"83,420.70","83,700.90","84,168.00","83,327.30",2.50M,-0.33%
10/7/2021,"82,953.60","83,420.70","83,514.10","82,953.60",2.98M,-0.56%
10/8/2021,"83,700.90","83,047.00","84,074.60","82,860.20",2.62M,0.90%
10/11/2021,"84,074.60","84,074.60","84,448.30","83,607.50",2.47M,0.45%
10/12/2021,"84,448.30","84,448.30","85,289.00","84,168.00",3.62M,0.44%
10/13/2021,"84,168.00","85,008.80","85,289.00","84,074.60",3.79M,-0.33%
10/14/2021,"84,074.60","84,261.40","84,541.70","83,700.90",2.01M,-0.11%
10/15/2021,"84,074.60","84,074.60","84,728.50","83,700.90",3.21M,0.00%
10/18/2021,"83,887.80","84,074.60","84,168.00","83,327.30",2.31M,-0.22%
10/19/2021,"84,354.80","83,887.80","84,541.70","83,887.80",5.98M,0.56%
10/20/2021,"84,074.60","84,448.30","84,635.10","83,140.40",3.48M,-0.33%
10/21/2021,"83,233.80","84,074.60","84,168.00","83,233.80",2.94M,-1.00%
10/22/2021,"84,541.70","83,607.50","84,541.70","83,327.30",4.49M,1.57%
10/25/2021,"84,168.00","84,541.70","84,635.10","83,981.20",2.77M,-0.44%
10/26/2021,"83,700.90","84,074.60","84,261.40","83,514.10",1.64M,-0.55%
10/27/2021,"84,448.30","84,074.60","84,635.10","83,794.30",3.55M,0.89%
10/28/2021,"84,635.10","84,541.70","85,475.80","84,541.70",4.09M,0.22%
10/29/2021,"84,728.50","84,635.10","85,008.80","84,354.80",3.75M,0.11%
11/1/2021,"84,074.60","84,821.90","85,289.00","83,887.80",5.08M,-0.77%
11/2/2021,"83,327.30","84,074.60","84,074.60","83,140.40",4.89M,-0.89%
11/3/2021,"82,393.10","83,233.80","83,607.50","82,393.10",5.55M,-1.12%
11/4/2021,"82,579.90","82,579.90","82,860.20","82,299.70",2.51M,0.23%
11/5/2021,"83,327.30","82,766.80","83,514.10","82,673.30",2.65M,0.91%
11/8/2021,"84,821.90","83,794.30","85,102.20","83,700.90",6.17M,1.79%
11/9/2021,"83,887.80","85,008.80","85,102.20","83,794.30",3.70M,-1.10%
11/10/2021,"83,794.30","84,074.60","84,168.00","83,420.70",2.67M,-0.11%
11/11/2021,"83,700.90","83,887.80","84,448.30","83,420.70",3.38M,-0.11%
11/12/2021,"83,420.70","84,074.60","84,168.00","83,233.80",2.12M,-0.33%
11/15/2021,"83,140.40","83,607.50","83,700.90","83,140.40",3.27M,-0.34%
11/16/2021,"82,766.80","83,140.40","83,420.70","82,673.30",3.25M,-0.45%
11/17/2021,"82,953.60","82,766.80","83,700.90","82,766.80",2.51M,0.23%
11/18/2021,"82,206.30","82,953.60","82,953.60","82,206.30",3.90M,-0.90%
11/19/2021,"80,431.40","82,206.30","82,579.90","80,337.90",5.15M,-2.16%
11/22/2021,"80,524.80","80,337.90","80,805.00","80,244.50",3.50M,0.12%
11/23/2021,"80,618.20","80,805.00","80,991.90","80,337.90",2.20M,0.12%
11/24/2021,"81,739.20","80,805.00","81,739.20","80,805.00",2.12M,1.39%
11/25/2021,"81,739.20","81,739.20","82,393.10","81,458.90",2.18M,0.00%
11/26/2021,"82,486.50","81,832.60","82,953.60","81,739.20",3.02M,0.91%
11/29/2021,"81,739.20","82,019.40","82,112.90","81,458.90",2.84M,-0.91%
11/30/2021,"81,832.60","81,832.60","82,953.60","81,832.60",3.18M,0.11%
12/1/2021,"81,739.20","82,206.30","82,766.80","81,645.80",1.89M,-0.11%
12/2/2021,"81,645.80","81,739.20","82,206.30","81,645.80",1.25M,-0.11%
12/3/2021,"80,151.10","81,832.60","82,206.30","80,151.10",2.90M,-1.83%
12/6/2021,"79,684.00","80,337.90","80,898.40","79,684.00",3.17M,-0.58%
12/7/2021,"80,805.00","80,151.10","80,805.00","79,777.40",1.53M,1.41%
12/8/2021,"80,337.90","80,618.20","80,805.00","80,057.70",1.29M,-0.58%
12/9/2021,"81,272.10","80,244.50","81,365.50","80,057.70",1.45M,1.16%
12/10/2021,"80,618.20","80,805.00","81,272.10","80,151.10",1.49M,-0.80%
12/13/2021,"80,711.60","80,618.20","81,085.30","80,337.90",1.50M,0.12%
12/14/2021,"80,618.20","80,711.60","81,178.70","80,524.80",1.67M,-0.12%
12/15/2021,"80,618.20","80,711.60","80,991.90","80,618.20",1.21M,0.00%
12/16/2021,"80,898.40","80,618.20","80,898.40","80,337.90",1.61M,0.35%
12/17/2021,"80,057.70","80,898.40","80,991.90","80,057.70",2.66M,-1.04%
12/20/2021,"80,057.70","80,337.90","80,618.20","79,964.30",1.81M,0.00%
12/21/2021,"79,870.90","80,151.10","80,337.90","79,870.90",1.19M,-0.23%
12/22/2021,"79,777.40","80,057.70","80,524.80","79,684.00",1.84M,-0.12%
12/23/2021,"79,123.50","79,777.40","79,777.40","78,936.70",2.15M,-0.82%
12/24/2021,"80,337.90","79,123.50","80,337.90","79,123.50",1.15M,1.53%
12/27/2021,"80,431.40","80,337.90","80,711.60","80,057.70",1.14M,0.12%
12/28/2021,"79,870.90","80,524.80","80,524.80","79,590.60",1.54M,-0.70%
12/29/2021,"79,590.60","79,870.90","79,964.30","79,497.20",945.40K,-0.35%
12/30/2021,"79,684.00","79,684.00","79,964.30","79,497.20",893.10K,0.12%
12/31/2021,"80,711.60","79,870.90","81,739.20","79,684.00",2.33M,1.29%
1/4/2022,"80,991.90","81,458.90","81,645.80","80,991.90",1.89M,0.35%
1/5/2022,"80,524.80","81,085.30","81,272.10","80,337.90",3.12M,-0.58%
1/6/2022,"79,777.40","80,431.40","80,431.40","79,684.00",2.85M,-0.93%
1/7/2022,"79,590.60","79,684.00","79,964.30","79,403.80",2.55M,-0.23%
1/10/2022,"79,495.60","80,540.40","80,730.30","79,305.70",2.15M,-0.12%
1/11/2022,"79,495.60","79,400.70","79,780.60","79,305.70",1.83M,0.00%
1/12/2022,"78,925.80","79,590.60","79,590.60","78,545.90",2.18M,-0.72%
1/13/2022,"78,925.80","79,210.70","79,495.60","78,735.80",1.71M,0.00%
1/14/2022,"80,445.40","78,925.80","80,825.30","78,545.90",2.52M,1.93%
1/17/2022,"78,735.80","80,730.30","80,730.30","78,735.80",2.10M,-2.13%
1/18/2022,"79,210.70","78,735.80","79,305.70","78,450.90",2.10M,0.60%
1/19/2022,"79,210.70","78,735.80","79,305.70","78,545.90",1.76M,0.00%
1/20/2022,"78,830.80","78,830.80","79,115.70","78,735.80",1.49M,-0.48%
1/21/2022,"78,450.90","78,830.80","79,115.70","78,355.90",1.58M,-0.48%
1/24/2022,"76,931.30","78,450.90","78,545.90","76,931.30",2.22M,-1.94%
1/25/2022,"75,221.70","76,456.40","76,931.30","75,126.70",3.76M,-2.22%
1/26/2022,"75,696.60","75,316.70","76,456.40","75,316.70",1.45M,0.63%
1/27/2022,"78,925.80","76,076.50","79,210.70","76,076.50",2.04M,4.27%
1/28/2022,"78,925.80","78,830.80","79,970.50","78,640.90",2.26M,0.00%
2/7/2022,"79,305.70","79,020.80","79,780.60","78,735.80",1.32M,0.48%
2/8/2022,"77,881.00","79,210.70","79,305.70","77,881.00",2.71M,-1.80%
2/9/2022,"78,640.90","77,881.00","79,495.60","77,881.00",1.80M,0.98%
2/10/2022,"78,545.90","78,640.90","79,115.70","78,166.00",1.61M,-0.12%
2/11/2022,"77,881.00","78,355.90","78,450.90","77,786.10",1.62M,-0.85%
2/14/2022,"77,026.20","77,406.20","77,881.00","76,931.30",2.97M,-1.10%
2/15/2022,"77,121.20","77,026.20","77,406.20","76,931.30",1.47M,0.12%
2/16/2022,"76,361.40","77,121.20","77,216.20","76,266.40",2.83M,-0.99%
2/17/2022,"76,741.30","76,456.40","77,121.20","76,361.40",1.79M,0.50%
2/18/2022,"76,551.40","76,076.50","76,741.30","76,076.50",1.81M,-0.25%
2/21/2022,"76,931.30","76,836.30","77,501.10","76,836.30",1.28M,0.50%
2/22/2022,"75,981.50","76,836.30","76,931.30","75,696.60",3.20M,-1.23%
2/23/2022,"75,981.50","75,981.50","76,456.40","75,791.50",2.20M,0.00%
2/24/2022,"74,651.80","75,981.50","75,981.50","74,556.80",2.72M,-1.75%
2/25/2022,"74,936.80","75,031.70","75,506.60","74,936.80",1.35M,0.38%
2/28/2022,"74,461.90","74,936.80","75,031.70","73,892.00",2.26M,-0.63%
3/1/2022,"75,221.70","74,461.90","75,411.60","74,271.90",1.27M,1.02%
3/2/2022,"74,556.80","75,221.70","75,221.70","74,082.00",2.04M,-0.88%
3/3/2022,"74,461.90","74,746.80","75,031.70","74,271.90",1.49M,-0.13%
3/4/2022,"73,987.00","74,461.90","74,461.90","73,892.00",2.51M,-0.64%
3/7/2022,"72,942.20","73,987.00","73,987.00","72,847.30",3.53M,-1.41%
3/8/2022,"72,277.40","72,467.40","72,657.30","72,182.40",2.38M,-0.91%
3/9/2022,"71,327.60","72,182.40","72,942.20","71,232.70",3.00M,-1.31%
3/10/2022,"73,227.20","72,182.40","73,987.00","72,182.40",2.97M,2.66%
3/11/2022,"74,082.00","73,322.10","74,556.80","73,227.20",2.32M,1.17%
3/14/2022,"73,322.10","74,082.00","74,082.00","73,037.20",1.65M,-1.03%
3/15/2022,"73,322.10","73,132.20","73,607.10","72,467.40",1.48M,0.00%
3/16/2022,"73,417.10","73,322.10","74,082.00","73,132.20",1.85M,0.13%
3/17/2022,"72,562.30","73,702.10","73,892.00","72,562.30",1.35M,-1.16%
3/18/2022,"72,182.40","72,752.30","73,132.20","72,182.40",4.23M,-0.52%
3/21/2022,"73,702.10","72,182.40","73,987.00","72,182.40",1.88M,2.11%
3/22/2022,"73,037.20","73,987.00","73,987.00","72,942.20",2.39M,-0.90%
3/23/2022,"68,567.10","69,197.80","69,378.00","68,386.90",3.23M,-6.12%
3/24/2022,"68,116.60","68,477.00","68,567.10","67,756.20",3.39M,-0.66%
3/25/2022,"67,756.20","68,116.60","68,296.80","67,666.10",2.70M,-0.53%
3/28/2022,"66,134.40","67,846.30","68,116.60","66,134.40",4.04M,-2.39%
3/29/2022,"68,026.50","66,224.50","68,026.50","66,224.50",2.14M,2.86%
3/30/2022,"68,657.20","68,026.50","69,017.60","67,666.10",3.41M,0.93%
3/31/2022,"72,892.00","68,657.20","72,982.10","68,477.00",9.65M,6.17%
